id;street;city;country
1;S Franklin Street;Lake Beulahchester;Tanzania
2;Main Street;South Cedrickstead;Venezuela
3;Padberg Radial;East Miltonberg;Antarctica
4;Oaklands;Destinitown;Israel
5;Rico Crossing;Heaney-Haneworth;Lesotho
6;Amos Neck;North Dandrestad;Faroe Islands
7;Keara Spring;Fort Abbeymouth;Guinea-Bissau
8;Market Square;Maudebury;Bouvet Island
9;Grady Lakes;Leannonchester;United States Minor Outlying Islands
10;Trantow Hollow;Chesterfield;Mozambique
11;Jaiden Canyon;North Araborough;Hungary
12;Roob Streets;Homenickchester;Guadeloupe
13;Uriel Junctions;Lake Oswaldoshire;Bonaire, Sint Eustatius and Saba
14;The Orchard;Milfordmouth;Chile
15;York Road;Bossier City;Kazakhstan
16;Lakin Land;Lubbock;Switzerland
17;Canal Street;Mullerport;Paraguay
18;Larue Meadows;Port Zaria;United States Minor Outlying Islands
19;Jacobson Shore;Tulsa;Albania
20;Nora Lane;Diamond Bar;Yemen
21;Coy Ferry;Ransommouth;Liberia
22;Isabelle Knolls;West Daniella;Guyana
23;Meadow Lane;Mishawaka;Mongolia
24;Polly Turnpike;Placentia;Burkina Faso
25;D'Amore Manors;Port Rudolphhaven;Estonia
26;Tricia Crossing;Grand Junction;Saint Helena
27;Graham Views;Orange;Sri Lanka
28;Casper Haven;Daronfurt;Seychelles
29;Kuvalis Groves;Fort Selmerport;Bhutan
30;McKenzie Loop;Dareberg;Bahrain
